beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.60400000,0.76528981,0.48462814,0.48117216,2.04872291
1.60450000,0.76732535,0.48657561,0.48410756,2.04475458
1.60500000,0.76753769,0.48717680,0.48498568,2.04341100
1.60550000,0.76784929,0.48703758,0.48563564,2.04731945
1.60600000,0.76786927,0.48768255,0.48588194,2.04294333
1.60650000,0.77001533,0.48949140,0.48853821,2.03895856
1.60700000,0.77042792,0.48973671,0.48995703,2.04283210
1.60750000,0.77238487,0.49166967,0.49211681,2.03573556
1.60800000,0.77376794,0.49226693,0.49349097,2.03646938
1.60850000,0.77270971,0.49150500,0.49261557,2.03916445
1.60900000,0.77465750,0.49367449,0.49525960,2.03213018
1.60950000,0.77557575,0.49499249,0.49721679,2.02931081
1.61000000,0.77676058,0.49594036,0.49923664,2.02977337
1.61050000,0.77757352,0.49637714,0.49956079,2.02751837
1.61100000,0.77835808,0.49716238,0.50124250,2.02792259
1.61150000,0.77848400,0.49742242,0.50138730,2.02638808
1.61200000,0.78008940,0.49905002,0.50434308,2.02506004
1.61250000,0.78046110,0.49977083,0.50467375,2.02054675
1.61300000,0.78242298,0.50091777,0.50659772,2.01897229
1.61350000,0.78211892,0.50114152,0.50670857,2.01761123
1.61400000,0.78225769,0.50120643,0.50755709,2.02046642
